	auc	ap	hidden	rnd
0	0.8182269517072274	0.03567546612509753	16	0
1	0.841580030194056	0.042702441982828125	32	0
2	0.8316855937083975	0.03736044522007755	64	0
3	0.8200061103048107	0.036062647300387884	16	8
4	0.8120591706368537	0.03716700626492732	32	8
5	0.8257352375640237	0.03193651531193202	64	8
6	0.8280255075784246	0.03850660564412217	16	16
7	0.8347150563621686	0.04096804396606738	32	16
8	0.8284421974336095	0.0365588406219799	64	16
9	0.8104843054898113	0.03367774507821241	16	32
10	0.8411200898443045	0.050366053190440116	32	32
11	0.7896732096848591	0.02524144082828995	64	32
