,tr_acc,tr_ap,tr_e,ind_acc,ind_ap,ind_e,hidden,latent
0,0.8658188932364449,0.9372295885526435,135,0.6297652042043612,0.7663663690928124,56,64,64
1,0.8697037451089994,0.927705507289636,92,0.7030277676096847,0.7130554745622878,34,128,64
2,0.8828954723309111,0.9274185318070751,81,0.6768812424828741,0.6385164218121022,28,256,64
3,0.8754052543320291,0.9406523527229772,112,0.8064634210113476,0.7468021865050096,362,512,64
4,0.8864449413079933,0.9355388991385056,160,0.7377503529780892,0.6644564419902736,157,64,128
5,0.8849077697037451,0.9417059568192977,112,0.7157872718715683,0.7138681872532172,41,128,128
6,0.8929849077697037,0.9411319549930047,110,0.821053182032108,0.7211961448091072,572,256,128
7,0.8757126886528787,0.9362498329294796,156,0.6536108351200125,0.6126051978027593,65,512,128
8,0.8691727221911683,0.9270450193607085,196,0.6935627255137792,0.636506421777597,246,64,256
9,0.8704583566238122,0.9181250681363977,104,0.6546566961250849,0.7111086209362487,36,128,256
10,0.8856344326439352,0.9436872035177543,109,0.8170789102128327,0.7609217534555759,626,256,256
11,0.8846282839575181,0.9403771074858993,168,0.6555456779793966,0.5529253581071268,50,512,256
